Gene,Log2FC_B1,stat_B1,pval_B1,Log2FC_B2,stat_B2,pval_B2,significance
ARRB2,-0.28357749822880474,-2.2664271306445247,0.02342524403278783,-0.0452029194473397,-0.17635822508385812,0.8600125217708152,Both_down
ARSG,0.23552169067797368,2.676301670221451,0.007443960867689782,0.11927685014197911,0.7945471735970796,0.42687695777788043,Both_up
ART4,0.4161009625633213,2.9324487918663764,0.003363003776596672,0.4488505452996364,1.3165259359089672,0.18799757919416757,Both_up
ASB13,0.26828297348891933,2.510662268359237,0.012050492452600642,0.19230863358535955,0.8931341378155462,0.3717853434002957,Both_up
ASB15,0.5639101279494296,3.506332089103804,4.543279886347318e-4,0.6543858285140739,1.1936591516804371,0.23261132531280945,Both_up
ASB18,0.5818652080753065,2.764430451028756,0.005702226156384246,0.12589858615897379,0.15493994965324503,0.8768686586556397,Both_up
ASPM,0.3576389825963523,2.030935122561906,0.04226157630781963,0.19954701065995842,0.5392755413731964,0.5896967428782326,Both_up
ASTN2,0.2754132165072045,2.5599830399809824,0.010467727160959695,0.06558457641042618,0.2565304384088588,0.7975412801229863,Both_up
ATF4,-0.2208245507222863,-3.0495154997130713,0.0022921080525362836,-0.04905087174339495,-0.5614180652447218,0.5745125716157173,Both_down
ATF4P3,0.3339125657287626,2.2219331377531306,0.026287824531200613,0.19359949486999575,0.8868139636533803,0.3751790684771983,Both_up
ATP10B,0.2282660793926276,1.967725983152279,0.04909957453412455,0.12428338977946216,0.2949764941415403,0.7680118361556101,Both_up
ATP1B3,-0.25680759714947593,-2.474672123125221,0.013335854289199707,-0.038823195037644885,-0.2249741190599605,0.821999408180445,Both_down
ATP2A1,0.25080889163174536,2.3874820144708395,0.01696423279784928,0.04848028487798883,0.2420398683462907,0.8087492710054676,Both_up
ATP5MFP1,1.6206466733774887,3.8436298348356726,1.2122781682272748e-4,0.4727104921196487,0.37374261895194544,0.708595814002601,Both_up
ATP5PBP6,0.9417641859422321,2.459426299929085,0.013915926650155121,0.08457814092424629,0.06038791585537467,0.9518466828436949,Both_up
ATP6V0A1,-0.13352257162399822,-2.36775664883513,0.017896302798353095,-0.021757609125639205,-0.16143766794255449,0.8717487010163363,Both_down
ATP6V0A4,0.6518420122252648,3.6005471627610204,3.175482195204385e-4,0.1877636208419745,0.304736510201131,0.7605668402209771,Both_up
ATP6V0C,-0.340891963914733,-2.9023908190229704,0.003703262216434535,-0.17006194520623413,-0.8200480218031859,0.412188731790816,Both_down
ATP8A2P1,0.5760972177751653,2.2081191133178533,0.02723597096541616,0.5516808240631863,1.1860058908679485,0.23561997315074384,Both_up
ATP8A2P3,0.3034842468784563,2.610555448305352,0.0090395316433831,0.03589304472046956,0.10462629711167722,0.9166723471466807,Both_up
ATXN1-AS1,0.19600858056524934,2.114841815973749,0.03444343156715399,0.10801747911920119,0.6216201817586771,0.534191647272598,Both_up
AXDND1,0.36373808520294626,2.899679767187721,0.003735440763881975,0.4443696574938257,0.8503377160054384,0.3951373533047879,Both_up
